instant,dteday,season,yr,mnth,hr,holiday,weekday,weathersit,temp,Unnamed: 0,atemp,hum,windspeed,casual,registered,cnt,instant,dteday,season,yr,mnth,hr,holiday,weekday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1,01-01-2011,1,0,1,0,False,6,1,0.24,0,0.2879,0.81,0.0,3,13,16,620.0,29-01-2011,1.0,0.0,1.0,1.0,False,6.0,1.0,0.22,0.2273,0.64,0.194,0.0,20.0,20.0
2,01-01-2011,1,0,1,1,False,6,1,0.22,1,0.2727,0.8,0.0,8,32,40,621.0,29-01-2011,1.0,0.0,1.0,2.0,False,6.0,1.0,0.22,0.2273,0.64,0.1642,0.0,15.0,15.0
3,01-01-2011,1,0,1,2,False,6,1,0.22,2,0.2727,0.8,0.0,5,27,32,622.0,29-01-2011,1.0,0.0,1.0,3.0,False,6.0,1.0,0.2,0.2121,0.64,0.1343,3.0,5.0,8.0
4,01-01-2011,1,0,1,3,False,6,1,0.24,3,0.2879,0.75,0.0,3,10,13,623.0,29-01-2011,1.0,0.0,1.0,4.0,False,6.0,1.0,0.16,0.1818,0.69,0.1045,1.0,2.0,3.0
5,01-01-2011,1,0,1,4,False,6,1,0.24,4,0.2879,0.75,0.0,0,1,1,624.0,29-01-2011,1.0,0.0,1.0,6.0,False,6.0,1.0,0.16,0.1818,0.64,0.1343,0.0,2.0,2.0
6,01-01-2011,1,0,1,5,False,6,2,0.24,5,0.2576,0.75,0.0896,0,1,1,625.0,29-01-2011,1.0,0.0,1.0,7.0,False,6.0,1.0,0.16,0.1818,0.59,0.1045,1.0,4.0,5.0
7,01-01-2011,1,0,1,6,False,6,1,0.22,6,0.2727,0.8,0.0,2,0,2,626.0,29-01-2011,1.0,0.0,1.0,8.0,False,6.0,1.0,0.18,0.197,0.55,0.1642,3.0,31.0,34.0
8,01-01-2011,1,0,1,7,False,6,1,0.2,7,0.2576,0.86,0.0,1,2,3,627.0,29-01-2011,1.0,0.0,1.0,9.0,False,6.0,1.0,0.18,0.2121,0.59,0.0896,0.0,34.0,34.0
9,01-01-2011,1,0,1,8,False,6,1,0.24,8,,0.75,0.0,1,7,8,628.0,29-01-2011,1.0,0.0,1.0,10.0,False,6.0,2.0,0.18,0.2121,0.64,0.1045,4.0,51.0,55.0
10,01-01-2011,1,0,1,9,False,6,1,0.32,9,0.3485,0.76,0.0,8,6,14,629.0,29-01-2011,1.0,0.0,1.0,11.0,False,6.0,2.0,0.18,0.197,0.64,0.1343,4.0,60.0,64.0
11,01-01-2011,1,0,1,10,False,6,1,0.38,10,0.3939,0.76,0.2537,12,24,36,630.0,29-01-2011,1.0,0.0,1.0,12.0,False,6.0,2.0,0.2,0.197,0.59,0.194,12.0,66.0,78.0
12,01-01-2011,1,0,1,11,False,6,1,0.36,11,0.3333,0.81,0.2836,26,30,56,631.0,29-01-2011,1.0,0.0,1.0,13.0,False,6.0,2.0,0.22,0.2273,0.55,0.1642,9.0,56.0,65.0
13,01-01-2011,1,0,1,12,False,6,1,0.42,12,0.4242,0.77,0.2836,29,55,84,632.0,29-01-2011,1.0,0.0,1.0,14.0,False,6.0,2.0,0.22,0.2273,0.6,0.1343,10.0,89.0,99.0
14,01-01-2011,1,0,1,13,False,6,2,0.46,13,0.4545,0.72,0.2985,47,47,94,633.0,29-01-2011,1.0,0.0,1.0,15.0,False,6.0,1.0,0.22,0.2121,0.69,0.2537,22.0,98.0,120.0
15,01-01-2011,1,0,1,14,False,6,2,0.46,14,0.4545,0.72,0.2836,35,71,106,634.0,29-01-2011,1.0,0.0,1.0,16.0,False,6.0,1.0,0.24,0.2424,0.6,0.1642,19.0,88.0,107.0
16,01-01-2011,1,0,1,15,False,6,2,0.44,15,0.4394,0.77,0.2985,40,70,110,635.0,29-01-2011,1.0,0.0,1.0,17.0,False,6.0,1.0,0.24,0.2879,0.6,0.0,9.0,82.0,91.0
17,01-01-2011,1,0,1,16,False,6,2,0.42,16,0.4242,0.82,0.2985,41,52,93,636.0,29-01-2011,1.0,0.0,1.0,18.0,False,6.0,1.0,0.22,0.2273,0.69,0.1343,9.0,59.0,68.0
18,01-01-2011,1,0,1,17,False,6,2,0.44,17,,0.82,0.2836,15,52,67,637.0,29-01-2011,1.0,0.0,1.0,19.0,False,6.0,2.0,0.22,0.2121,0.69,0.2537,6.0,52.0,58.0
19,01-01-2011,1,0,1,18,False,6,3,0.42,18,0.4242,0.88,0.2537,9,26,35,638.0,29-01-2011,1.0,0.0,1.0,20.0,False,6.0,1.0,0.18,0.2121,0.74,0.0896,1.0,42.0,43.0
20,01-01-2011,1,0,1,19,False,6,3,0.42,19,0.4242,0.88,0.2537,6,31,37,639.0,29-01-2011,1.0,0.0,1.0,21.0,False,6.0,1.0,0.18,0.2121,0.74,0.0896,1.0,35.0,36.0
21,01-01-2011,1,0,1,20,False,6,2,0.4,20,0.4091,0.87,0.2537,11,25,36,640.0,29-01-2011,1.0,0.0,1.0,22.0,False,6.0,1.0,0.16,0.197,0.8,0.0896,4.0,28.0,32.0
22,01-01-2011,1,0,1,21,False,6,2,0.4,21,0.4091,0.87,0.194,3,31,34,641.0,29-01-2011,1.0,0.0,1.0,23.0,False,6.0,1.0,0.16,0.197,0.8,0.0896,3.0,30.0,33.0
